Imagefile,ExtractedDate ,ActualDate ,Iscorrect
01048818.jpeg ," ""null""",5/21/2019,No
0156b46f.jpeg ," ""2019-07-25""",7/25/2019,Yes
01a0cabb.jpeg ," ""null""",9/29/2019,No
02acce30.jpeg ," ""null""",10/6/2016,No
02d54805.jpeg ," ""2019-05-29""",5/29/2019,Yes
02f4068e.jpeg ," ""null""",3-Jul-19,No
0308aae2.jpeg ," ""null""","""null""",Yes
0349ff40.jpeg ," ""2019-05-23""",5/23/2019,Yes
0358c6c3.jpeg ," ""2019-01-07""",1/7/2019,Yes
037ef967.jpeg ," ""2019-05-22""",5/22/2019,Yes
0406cfb1.jpeg ," ""2019-07-17""",7/17/2019,Yes
04887bab.jpeg ," ""2019-02-07""",2/7/2019,Yes
049c8dfd.jpeg ," ""2015-06-02""",2/6/2019,Yes
04f988a3.jpeg ," ""2019-07-22""",7/22/2019,Yes
04fa5e11.jpeg ," ""2018-07-22""",7/22/2018,Yes
05f91a79.jpeg ," ""2019-07-06""",7/6/2019,Yes
068ea6e6.jpeg ," ""2019-05-24""",5/24/2019,Yes
0728f702.jpeg ," ""2016-04-15""",4/15/2016,Yes
077124e4.jpeg ," ""2019-07-20""",7/20/2019,Yes
093304e6.jpeg ," ""2019-06-20""",6/20/2019,Yes
0a0ebd53.jpeg ," ""2019-05-29""",5/29/2019,Yes
0a8a955f.jpeg ," ""2019-05-22""",5/22/2019,Yes
0b1664cb.jpeg ," ""2019-07-05""",7/5/2019,Yes
0c4672b4.jpeg ," ""2019-06-18""",6/18/2019,Yes
0c60aa84.jpeg ," ""2019-06-28""",6/28/2019,Yes
0cc46a10.jpeg ," ""2004-08-09""",6/3/2019,No
0cdf6ec0.jpeg ," ""2019-06-20""",6/20/2019,Yes
0daa6a1c.jpeg ," ""2019-04-13""",4/13/2019,Yes
0e0dd005.jpeg ," ""2019-06-07""",6/7/2019,Yes
0eda160c.jpeg ," ""2019-06-28""",6/28/2019,Yes
0efaa622.jpeg ," ""2019-04-30""",4/30/2019,Yes
102dd660.jpeg ," ""2019-07-25""",7/25/2019,Yes
105e97c5.jpeg ," ""2017-10-03""",3/10/2017,Yes
10e00c18.jpeg ," ""2019-08-06""",8/6/2019,Yes
1171a5da.jpeg ," ""2019-07-14""",7/14/2019,Yes
1191438d.jpeg ," ""2018-06-30""",6/30/2019,Yes
121a7302.jpeg ," ""2019-06-27""",6/27/2019,Yes
13531d03.jpeg ," ""2019-06-25""",6/25/2019,Yes
13b63796.jpeg ," ""2016-11-24""",11/24/2016,Yes
13dc4bd4.jpeg ," ""2020-05-21""",image approximately blank ,No
148ebe90.jpeg ," ""null""",6/19/2019,No
150d4dde.jpeg ," ""null""",6/20/2019,No
156e0f63.jpeg ," ""2019-05-19""",5/19/2019,Yes
15bb95a8.jpeg ," ""2019-07-08""",7/8/2019,Yes
15ce8549.jpeg ," ""2019-05-18""",5/18/2019,Yes
16929bef.jpeg ," ""2014-05-22""",5/22/2014,Yes
18e9efcf.jpeg ," ""null""",10/1/2017,No
194fc04c.jpeg ," ""2015-08-22""",8/22/2015,Yes
19aa65d3.jpeg ," ""2019-09-08""",9/8/2019,Yes
1a9c056c.jpeg ," ""2019-06-27""",6/27/2019,Yes
1ae93f0a.jpeg ," ""2019-07-29""",7/29/2019,Yes
1afb9648.jpeg ," ""2019-05-22""",5/22/2019,Yes
1b0a9723.jpeg ," ""2019-01-19""",7/19/2019,No
1cd9dfed.jpeg ," ""null""",6/1/2019,No
1d900ca2.jpeg ," ""2019-07-09""",7/9/2019,Yes
1e288e8c.jpeg ," ""2019-06-07""",6/7/2019,Yes
1e3d07aa.jpeg ," ""null""",null,Yes
1ed34833.jpeg ," ""null""",11/15/2006,No
1f2e0222.jpeg ," ""2018-10-20""",10/20/2018,Yes
1f6a12e7.jpeg ," ""2018-02-17""",2/17/2018,Yes
1f880ba4.jpeg ," ""2019-06-24""",6/24/2019,Yes
1f9bdf4a.jpeg ," ""2019-06-06""",6/6/2019,Yes
20888b5e.jpeg ," ""null""",8/4/2019,No
208e94bb.jpeg ," ""2019-01-06""",1/6/2019,Yes
20aaa16a.jpeg ," ""2019-07-06""",7/6/2019,Yes
212ab88f.jpeg ," ""2019-04-07""",7/4/2019,Yes
21e9cc19.jpeg ," ""2018-08-17""",8/17/2018,Yes
223eba39.jpeg ," ""null""",6/1/2019,No
24847223.jpeg ," ""2019-06-26""",6/26/2019,Yes
25635faa.jpeg ," ""null""",7/19/2019,No
2590a66d.jpeg ," ""2019-06-14""",6/14/2019,Yes
25ee2c0d.jpeg ," ""2019-06-25""",6/25/2019,Yes
25f999dc.jpeg ," ""2019-06-19""",6/19/2019,Yes
265001bf.jpeg ," ""2019-07-11""",11/7/2019,Yes
